rank0,bpm1,nrgy2,dnce3,dB4,live5,val6,dur7,acous8,spch9
49,174,96,59,2,32,83,154,32,8
50,130,91,71,5,71,69,179,56,7
1,98,59,82,6,15,51,209,69,9
2,117,60,62,6,46,46,164,5,15
3,150,63,34,7,7,35,241,16,4
4,192,62,53,7,29,59,204,5,12
5,67,47,59,9,51,90,126,61,5
6,202,60,24,8,12,78,152,77,4
7,120,42,75,8,7,81,131,64,4
8,147,61,33,11,77,40,214,32,3
9,162,56,66,9,8,85,183,50,5
10,142,26,65,13,36,84,155,90,6
11,95,51,77,9,7,77,228,32,3
12,79,21,32,15,14,21,192,92,3
13,131,16,32,16,34,25,177,67,4
14,134,24,45,14,18,70,117,91,4
15,75,18,44,9,32,34,171,96,4
16,117,59,90,7,79,64,197,10,6
17,160,81,51,5,21,69,230,0,5
18,129,84,67,4,11,84,126,61,3
19,113,28,73,12,12,72,156,76,6
20,127,78,57,7,11,70,153,2,3
21,115,64,60,7,10,35,223,16,4
22,95,27,47,17,14,58,129,90,4
23,152,72,68,11,8,96,166,81,9
24,96,78,75,6,28,77,171,5,14
25,146,57,73,6,5,61,201,2,10
26,140,93,53,6,31,82,272,10,4
27,131,42,31,9,8,24,242,13,3
28,119,65,32,6,24,47,272,50,3
29,140,67,36,8,73,41,268,36,5
30,108,48,74,12,36,95,263,19,3
31,149,86,49,7,35,96,182,53,4
32,147,76,69,5,18,96,144,42,3
33,115,37,45,14,8,63,134,83,4
34,114,57,58,5,27,68,174,74,4
35,93,22,33,11,34,36,207,88,3
36,129,71,58,8,82,61,181,26,5
37,102,34,55,10,11,66,85,82,3
38,102,25,57,15,20,41,166,81,3
39,140,37,67,13,10,86,133,59,3
40,180,58,51,11,18,87,242,36,4
41,151,43,61,9,9,74,122,86,4
42,126,76,34,7,8,36,166,39,5
43,110,10,61,14,8,34,136,80,4
44,167,54,48,10,8,82,147,24,4
45,130,20,47,16,5,54,144,88,6
46,82,11,25,14,16,15,268,94,3
47,92,77,53,7,32,85,181,40,3
48,123,40,59,7,4,42,172,79,5
49,123,58,71,6,14,83,162,70,6
50,102,71,76,10,8,96,224,16,3
1,98,59,82,6,15,51,209,69,9
2,150,63,34,7,7,35,241,16,4
3,105,72,72,7,24,67,222,3,7
4,101,72,80,3,6,57,201,30,30
5,92,67,89,4,10,53,192,4,19
6,105,81,79,4,8,61,302,8,9
7,94,70,88,4,6,79,200,14,7
8,176,65,75,6,11,43,243,15,32
9,80,84,73,5,18,62,271,2,7
10,176,62,61,5,24,24,251,60,31
11,120,42,75,8,7,81,131,64,4
12,105,67,82,6,10,66,215,5,8
13,94,90,66,3,12,71,211,5,4
14,92,73,73,3,10,88,217,22,4
15,176,82,73,2,23,68,216,3,15
16,174,64,73,4,14,55,205,9,13
17,146,83,73,3,7,94,179,27,5
18,92,76,78,3,14,58,201,46,23
19,182,67,65,6,8,34,250,47,31
20,92,79,81,4,9,58,309,14,7
21,170,71,74,4,8,83,259,5,9
22,176,79,73,2,6,76,288,7,20
23,93,79,64,4,36,94,222,3,25
24,166,72,80,4,18,76,305,14,8
25,88,65,75,3,11,48,233,11,7
26,94,67,82,6,13,77,332,44,30
27,92,60,70,6,10,41,254,16,30
28,149,86,49,7,35,96,182,53,4
29,96,65,86,4,8,55,268,39,10
30,180,72,70,6,9,78,175,23,9
31,93,22,33,11,34,36,207,88,3
32,88,67,88,3,7,68,227,11,11
33,100,75,90,7,29,74,464,37,16
34,100,72,76,5,13,20,252,7,12
35,174,76,71,4,37,72,219,27,29
36,151,43,61,9,9,74,122,86,4
37,172,72,68,4,11,79,173,54,6
38,75,68,67,6,18,62,183,13,32
39,184,89,69,2,10,62,242,29,12
40,118,73,94,8,18,72,218,15,25
41,92,78,80,4,44,80,266,36,4
42,90,71,85,5,34,60,247,4,9
43,94,75,87,6,4,77,220,12,7
44,176,80,71,3,25,72,221,37,22
45,174,90,70,3,18,82,189,20,6
46,95,72,80,6,17,51,195,15,5
47,170,85,52,2,33,72,116,38,19
48,173,84,52,4,16,75,155,36,15
49,94,71,65,4,5,69,254,37,3
50,90,40,36,11,7,18,212,73,3
1,98,59,82,6,15,51,209,69,9
2,105,72,72,7,24,67,222,3,7
3,101,72,80,3,6,57,201,30,30
4,105,81,79,4,8,61,302,8,9
5,92,67,89,4,10,53,192,4,19
6,94,70,88,4,6,79,200,14,7
7,176,65,75,6,11,43,243,15,32
8,176,62,61,5,24,24,251,60,31
9,80,84,73,5,18,62,271,2,7
10,105,67,82,6,10,66,215,5,8
11,94,90,66,3,12,71,211,5,4
12,176,82,73,2,23,68,216,3,15
13,95,75,74,5,11,90,217,18,5
14,146,83,73,3,7,94,179,27,5
15,174,64,73,4,14,55,205,9,13
16,92,73,73,3,10,88,217,22,4
17,182,67,65,6,8,34,250,47,31
18,117,55,76,6,8,75,191,4,3
19,92,79,81,4,9,58,309,14,7
20,93,79,64,4,36,94,222,3,25
21,98,69,88,4,5,75,162,39,12
22,96,71,78,5,9,68,176,22,28
23,100,71,87,5,9,59,146,3,13
24,126,66,64,6,34,86,213,10,36
25,90,54,73,5,14,64,227,26,5
26,166,72,80,4,18,76,305,14,8
27,88,67,88,3,7,68,227,11,11
28,105,56,82,6,5,77,204,16,17
29,92,78,80,4,44,80,266,36,4
30,93,52,67,4,37,81,169,45,4
31,176,51,64,4,13,77,175,61,5
32,104,79,62,6,9,75,312,18,5
33,124,70,80,6,3,78,162,10,4
34,130,59,78,5,19,96,215,53,4
35,106,68,73,5,6,83,264,25,4
36,118,66,76,6,6,97,187,67,5
37,107,73,76,6,13,85,173,63,6
38,103,77,76,7,11,96,243,18,4
39,93,63,85,4,13,90,190,51,3
40,107,76,79,4,5,86,287,41,12
41,131,92,51,5,15,97,275,16,26
42,106,57,68,6,8,95,227,82,3
43,102,62,75,7,6,97,214,60,6
44,107,69,79,7,14,62,220,11,4
45,127,63,86,5,8,95,157,46,10
46,142,56,62,7,18,93,198,52,3
47,100,83,60,6,8,98,150,85,13
48,95,72,85,5,16,96,244,7,6
49,204,74,55,7,8,94,212,34,10
50,112,79,79,4,4,70,211,64,4
1,98,59,82,6,15,51,209,69,9
2,117,60,62,6,46,46,164,5,15
3,91,32,76,7,8,57,189,84,5
4,150,63,34,7,7,35,241,16,4
5,105,72,72,7,24,67,222,3,7
6,124,79,79,5,10,68,183,1,8
7,171,80,51,4,9,35,202,0,6
8,118,75,88,4,11,88,158,18,9
9,127,46,62,6,14,50,184,56,3
10,134,24,45,14,18,70,117,91,4
11,117,55,76,6,8,75,191,4,3
12,108,48,74,12,36,95,263,19,3
13,126,89,80,4,29,46,170,4,7
14,122,72,77,5,35,90,177,2,5
15,130,65,83,6,14,41,156,5,31
16,151,43,61,9,9,74,122,86,4
17,125,70,71,5,10,48,180,33,10
18,200,57,65,8,16,36,197,64,14
19,105,59,83,5,20,54,178,7,15
20,125,78,93,3,17,93,189,21,6
21,92,69,84,7,13,68,175,40,21
22,130,64,90,7,8,70,173,17,29
23,97,46,89,8,6,50,144,64,24
24,152,60,61,8,9,25,210,61,36
25,122,76,50,7,33,49,182,0,5
26,113,76,80,4,11,46,193,69,4
27,168,70,66,7,7,65,211,29,14
28,134,66,77,7,22,42,168,44,6
29,82,66,74,6,9,47,158,76,6
30,150,67,64,7,11,79,192,43,9
31,132,42,64,10,14,20,244,33,17
32,145,88,76,6,12,39,203,40,19
33,148,30,66,20,21,49,185,30,8
34,117,61,94,6,10,63,170,27,7
35,98,80,53,4,37,41,191,33,34
36,132,75,78,6,12,68,195,12,4
37,136,69,80,5,18,80,223,62,6
38,105,73,75,6,7,49,162,56,19
39,142,40,63,9,10,25,224,88,3
40,105,74,79,5,34,47,197,33,6
41,75,74,70,7,16,93,215,55,5
42,201,50,51,8,16,32,209,12,8
43,154,69,58,6,10,66,204,15,46
44,135,54,76,6,13,72,189,66,5
45,77,74,72,7,41,71,157,29,28
46,105,31,33,9,6,42,196,99,3
47,152,59,77,8,18,58,233,50,9
48,83,57,86,10,6,23,162,1,12
49,100,54,75,7,10,69,232,48,4
50,130,61,95,8,12,72,179,28,19
1,98,59,82,6,15,51,209,69,9
2,117,60,62,6,46,46,164,5,15
3,150,63,34,7,7,35,241,16,4
4,127,43,78,9,9,24,159,12,4
5,171,80,51,4,9,35,202,0,6
6,192,62,53,7,29,59,204,5,12
7,118,75,88,4,11,88,158,18,9
8,147,61,33,11,77,40,214,32,3
9,162,56,66,9,8,85,183,50,5
10,120,42,75,8,7,81,131,64,4
11,202,60,24,8,12,78,152,77,4
12,95,51,77,9,7,77,228,32,3
13,96,63,82,6,7,72,132,13,23
14,75,18,44,9,32,34,171,96,4
15,160,81,51,5,21,69,230,0,5
16,129,84,67,4,11,84,126,61,3
17,115,64,60,7,10,35,223,16,4
18,131,42,31,9,8,24,242,13,3
19,140,93,53,6,31,82,272,10,4
20,108,48,74,12,36,95,263,19,3
21,149,86,49,7,35,96,182,53,4
22,93,22,33,11,34,36,207,88,3
23,147,73,67,7,20,68,255,23,3
24,136,20,48,17,9,86,136,92,3
25,180,58,51,11,18,87,242,36,4
26,90,53,54,6,10,18,180,35,43
27,96,70,61,4,57,67,192,13,37
28,128,76,94,6,19,68,157,3,17
29,119,38,32,7,34,37,269,45,4
30,160,69,66,8,10,49,237,21,24
31,131,83,90,7,21,71,192,12,7
32,83,42,30,9,23,34,262,21,3
33,138,60,84,6,11,85,209,30,6
34,150,68,58,5,26,52,232,11,3
35,148,67,90,6,11,41,163,27,16
36,134,48,86,7,12,46,176,29,6
37,130,80,41,3,18,47,223,22,4
38,179,75,48,5,10,42,195,53,43
39,89,37,73,12,11,23,142,17,44
40,196,53,75,6,6,64,158,16,34
41,77,58,50,4,10,32,243,47,3
42,104,80,80,5,31,57,198,13,4
43,91,63,63,5,12,55,229,56,3
44,146,45,82,9,20,92,173,49,4
45,108,82,81,5,17,60,162,38,9
46,102,71,76,10,8,96,224,16,3
47,101,73,86,6,10,20,171,2,19
48,174,70,61,6,12,43,200,31,17
49,160,64,69,6,33,53,255,14,8
50,134,71,72,7,15,44,163,22,25
1,91,32,76,7,8,57,189,84,5
2,117,60,62,6,46,46,164,5,15
3,120,76,70,3,9,55,215,19,4
4,127,43,78,9,9,24,159,12,4
5,171,80,51,4,9,35,202,0,6
6,135,43,70,11,10,56,194,33,38
7,130,56,78,7,40,68,185,13,8
8,170,75,53,6,12,20,200,1,11
9,127,46,62,6,14,50,184,56,3
10,105,49,72,6,9,38,171,2,3
11,117,55,76,6,8,75,191,4,3
12,125,78,78,4,8,67,204,6,13
13,90,52,76,4,7,93,158,53,6
14,170,69,51,5,30,30,194,2,10
15,118,73,70,6,53,86,303,7,3
16,90,40,47,7,15,35,249,63,2
17,80,66,53,4,13,59,255,61,6
18,125,70,70,8,16,43,183,17,4
19,108,83,86,4,11,69,257,38,5
20,77,66,44,6,13,52,223,70,4
21,170,69,52,4,12,48,227,62,3
22,70,40,43,8,11,31,285,74,4
23,124,51,56,7,6,39,255,59,3
24,83,67,71,6,20,36,179,30,4
25,172,82,77,6,32,49,179,49,9
26,172,59,31,5,32,35,372,45,4
27,110,97,80,2,35,69,177,15,4
28,174,86,65,2,20,73,210,16,21
29,129,90,83,5,7,53,231,26,8
30,95,62,86,7,12,51,174,4,32
31,93,71,83,5,11,49,161,10,7
32,90,48,44,6,10,32,196,45,4
33,118,55,57,8,9,44,311,52,4
34,100,77,84,5,37,34,147,28,19
35,100,77,82,2,6,72,185,46,6
36,128,97,67,2,6,72,190,6,9
37,105,91,80,4,31,91,164,10,6
38,136,64,38,6,22,65,193,56,4
39,87,38,72,8,13,48,201,59,6
40,100,87,81,2,7,34,205,1,6
41,100,82,86,3,30,54,172,38,10
42,145,92,69,3,11,88,211,9,6
43,138,46,39,7,11,15,235,45,4
44,120,91,80,3,39,54,176,2,9
45,103,55,65,7,22,29,224,41,3
46,108,96,74,0,36,57,191,16,7
47,94,53,61,6,13,40,236,82,2
48,94,97,78,0,35,80,185,1,11
49,95,98,71,3,34,57,209,2,8
1,98,59,82,6,15,51,209,69,9
2,91,32,76,7,8,57,189,84,5
3,117,60,62,6,46,46,164,5,15
4,102,34,51,9,21,9,206,58,4
5,127,43,78,9,9,24,159,12,4
6,110,41,50,6,11,45,182,75,3
7,84,57,51,7,34,22,240,35,20
8,90,63,65,5,11,43,168,15,3
9,96,46,73,7,19,40,213,37,3
10,117,55,76,6,8,75,191,4,3
11,96,45,75,9,17,34,233,4,9
12,120,86,65,5,19,80,230,9,10
13,94,18,80,12,62,61,182,61,6
14,93,65,64,8,8,55,198,12,19
15,102,68,80,5,9,84,220,9,4
16,170,69,51,5,30,30,194,2,10
17,110,13,52,19,9,12,188,89,4
18,130,66,68,5,35,61,183,7,4
19,100,51,53,8,10,35,210,13,3
20,92,29,51,7,8,40,328,94,4
21,116,25,34,15,11,10,266,87,4
22,90,38,65,8,39,41,210,91,4
23,106,75,74,5,22,45,192,27,3
24,136,20,44,12,10,24,250,89,4
25,118,49,75,8,9,23,171,43,6
26,80,39,67,8,10,33,249,74,3
27,81,65,76,5,52,66,166,12,7
28,130,28,67,11,10,30,326,79,3
29,117,54,64,8,14,66,224,11,4
30,96,29,70,7,11,45,218,31,3
31,140,67,66,2,9,41,211,19,4
32,80,58,36,9,12,37,314,52,3
33,100,37,56,12,11,22,208,60,5
34,82,27,36,11,12,5,252,89,3
35,145,52,25,6,9,11,255,22,3
36,158,51,47,9,32,60,256,16,3
37,125,83,53,5,20,25,250,13,4
38,80,47,36,8,19,57,264,59,3
39,125,54,66,12,11,54,289,16,3
40,80,32,39,9,11,13,220,97,3
41,130,78,73,6,21,75,262,31,3
42,140,49,54,8,20,30,232,74,3
43,140,68,60,7,9,72,208,5,3
44,77,37,57,9,8,37,236,56,3
45,136,23,58,12,10,32,256,81,3
46,83,31,54,11,15,46,227,82,3
47,179,16,28,12,11,20,252,89,3
48,102,80,73,5,35,93,205,19,3
49,125,49,47,8,12,23,209,47,3
50,95,40,66,6,14,34,266,58,3
1,98,59,82,6,15,51,209,69,9
2,117,60,62,6,46,46,164,5,15
3,91,32,76,7,8,57,189,84,5
4,120,76,70,3,9,55,215,19,4
5,120,23,70,14,11,24,245,90,10
6,127,43,78,9,9,24,159,12,4
7,124,79,79,5,10,68,183,1,8
8,135,43,70,11,10,56,194,33,38
9,110,41,50,6,11,45,182,75,3
10,76,43,60,9,21,6,176,5,3
11,171,80,51,4,9,35,202,0,6
12,84,57,51,7,34,22,240,35,20
13,130,39,84,8,14,50,161,18,8
14,140,32,78,11,9,33,179,59,33
15,105,49,72,6,9,38,171,2,3
16,117,55,76,6,8,75,191,4,3
17,93,65,64,8,8,55,198,12,19
18,102,68,80,5,9,84,220,9,4
19,100,69,60,8,41,8,157,16,20
20,79,65,42,5,11,73,175,1,40
21,76,57,64,5,25,42,141,1,5
22,115,66,80,7,10,59,207,12,4
23,75,47,54,8,7,46,207,49,3
24,128,43,58,8,13,22,216,75,5
25,104,45,73,9,9,63,197,51,3
26,140,66,80,7,25,79,167,23,6
27,90,61,61,5,7,63,184,10,6
28,92,61,82,7,5,65,169,25,11
29,129,38,41,7,11,32,317,83,3
30,120,52,54,9,21,27,189,54,6
31,132,38,64,8,11,39,192,64,4
32,137,35,63,7,53,19,182,3,4
33,98,56,38,6,98,24,302,53,3
34,136,55,60,6,34,58,216,16,3
35,128,80,63,5,17,67,232,21,6
36,96,48,60,10,11,44,245,48,3
37,97,49,90,4,8,73,166,6,17
38,120,50,64,7,12,33,180,51,4
39,100,63,72,6,12,38,219,73,3
40,68,46,57,8,13,64,223,63,3
41,136,42,56,9,7,26,239,64,3
42,171,72,36,7,8,38,199,17,11
43,124,42,50,9,9,11,238,57,4
44,112,56,68,7,36,36,201,59,5
45,134,57,66,6,11,51,224,51,4
46,67,68,66,8,12,48,323,45,20
47,74,44,47,6,10,35,208,66,13
48,140,55,73,8,13,73,208,80,5
49,123,57,78,8,18,50,197,40,7
50,112,88,73,5,10,23,213,50,3
1,98,59,82,6,15,51,209,69,9
2,91,32,76,7,8,57,189,84,5
3,117,60,62,6,46,46,164,5,15
4,150,63,34,7,7,35,241,16,4
5,105,72,72,7,24,67,222,3,7
6,127,43,78,9,9,24,159,12,4
7,192,62,53,7,29,59,204,5,12
8,67,47,59,9,51,90,126,61,5
9,147,61,33,11,77,40,214,32,3
10,120,42,75,8,7,81,131,64,4
11,162,56,66,9,8,85,183,50,5
12,202,60,24,8,12,78,152,77,4
13,142,26,65,13,36,84,155,90,6
14,95,51,77,9,7,77,228,32,3
15,96,63,82,6,7,72,132,13,23
16,160,81,51,5,21,69,230,0,5
17,140,67,36,8,73,41,268,36,5
18,108,48,74,12,36,95,263,19,3
19,149,86,49,7,35,96,182,53,4
20,93,87,64,4,12,91,157,2,4
21,93,22,33,11,34,36,207,88,3
22,180,81,66,5,11,69,161,7,8
23,151,43,61,9,9,74,122,86,4
24,172,60,34,5,28,16,255,45,3
25,141,66,66,6,13,51,223,7,6
26,130,79,69,6,26,57,168,13,25
27,120,73,75,6,19,27,208,1,7
28,82,55,55,8,34,7,231,15,10
29,158,66,75,5,17,35,184,15,28
30,98,62,84,7,10,51,188,6,13
31,170,83,57,6,79,79,184,12,9
32,65,51,58,6,8,48,188,4,4
33,92,45,72,13,10,46,182,25,19
34,140,20,65,12,31,69,155,83,6
35,145,66,83,8,14,80,179,44,26
36,95,69,61,6,10,28,200,16,10
37,122,70,80,7,11,57,165,6,7
38,98,63,80,9,9,39,164,9,14
39,134,81,66,5,16,55,188,9,16
40,105,68,57,6,11,24,247,43,4
41,120,83,72,5,44,48,258,1,21
42,162,51,45,6,11,42,245,44,3
43,124,64,77,5,10,59,174,8,6
44,88,78,49,6,16,32,184,5,7
45,123,40,59,7,4,42,172,79,5
46,95,46,80,11,21,58,162,4,24
47,78,79,42,6,11,50,220,1,27
48,160,68,82,7,22,71,149,15,56
49,165,76,58,6,11,44,165,5,4
50,121,63,70,4,13,37,180,26,3
1,98,59,82,6,15,51,209,69,9
2,117,60,62,6,46,46,164,5,15
3,150,63,34,7,7,35,241,16,4
4,105,72,72,7,24,67,222,3,7
5,101,72,80,3,6,57,201,30,30
6,192,62,53,7,29,59,204,5,12
7,92,67,89,4,10,53,192,4,19
8,105,81,79,4,8,61,302,8,9
9,94,70,88,4,6,79,200,14,7
10,80,84,73,5,18,62,271,2,7
11,176,62,61,5,24,24,251,60,31
12,105,67,82,6,10,66,215,5,8
13,95,75,74,5,11,90,217,18,5
14,92,73,73,3,10,88,217,22,4
15,92,76,78,3,14,58,201,46,23
16,174,64,73,4,14,55,205,9,13
17,176,82,73,2,23,68,216,3,15
18,182,67,65,6,8,34,250,47,31
19,170,71,74,4,8,83,259,5,9
20,176,79,73,2,6,76,288,7,20
21,92,79,81,4,9,58,309,14,7
22,98,69,88,4,5,75,162,39,12
23,100,71,87,5,9,59,146,3,13
24,166,72,80,4,18,76,305,14,8
25,108,48,74,12,36,95,263,19,3
26,176,77,73,2,29,72,199,61,13
27,126,89,80,4,29,46,170,4,7
28,149,86,49,7,35,96,182,53,4
29,178,75,67,5,11,70,209,21,6
30,180,72,70,6,9,78,175,23,9
31,93,22,33,11,34,36,207,88,3
32,88,67,88,3,7,68,227,11,11
33,100,72,76,5,13,20,252,7,12
34,174,76,71,4,37,72,219,27,29
35,100,75,90,7,29,74,464,37,16
36,94,75,89,4,15,44,220,19,9
37,96,82,83,5,13,60,188,2,7
38,106,52,86,10,5,71,220,44,13
39,130,92,89,2,5,96,211,17,9
40,110,72,76,4,38,75,211,32,13
41,149,61,63,13,23,96,203,1,4
42,160,67,56,4,12,68,219,11,3
43,176,65,64,7,8,74,186,68,19
44,125,54,83,10,13,90,190,17,9
45,124,69,79,5,7,62,174,8,6
46,174,90,70,3,18,82,189,20,6
47,150,75,70,6,10,88,209,3,3
48,94,94,74,2,5,70,181,17,10
49,108,78,47,4,19,44,164,19,4
50,125,76,75,6,8,75,191,19,6
