,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
201,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,belgium
202,ROXANNE,Arizona Zervas,pop rap,2019,31/12/1969,117,60,62,-6,46,46,164,5,15,99,belgium
203,Memories,Maroon 5,pop,2019,31/12/1969,91,32,76,-7,8,57,189,84,5,99,belgium
204,Circles,Post Malone,dfw rap,2019,31/12/1969,120,76,70,-3,9,55,215,19,4,99,belgium
205,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,belgium
206,everything i wanted,Billie Eilish,electropop,2019,31/12/1969,120,23,70,-14,11,24,245,90,10,98,belgium
207,Don't Start Now,Dua Lipa,dance pop,2019,31/12/1969,124,79,79,-5,10,68,183,1,8,97,belgium
208,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,31/12/1969,171,80,51,-4,9,35,202,0,6,96,belgium
209,Someone You Loved,Lewis Capaldi,pop,2019,31/12/1969,110,41,50,-6,11,45,182,75,3,96,belgium
210,bad guy,Billie Eilish,electropop,2019,31/12/1969,135,43,70,-11,10,56,194,33,38,96,belgium
211,Santa Tell Me,Ariana Grande,dance pop,2014,31/12/1969,192,62,53,-7,29,59,204,5,12,95,belgium
212,Ride It,Regard,pop edm,2019,31/12/1969,118,75,88,-4,11,88,158,18,9,95,belgium
213,Rockin' Around The Christmas Tree,Brenda Lee,adult standards,1964,31/12/1969,67,47,59,-9,51,90,126,61,5,93,belgium
214,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,31/12/1969,202,60,24,-8,12,78,152,77,4,92,belgium
215,Jingle Bell Rock,Bobby Helms,adult standards,1992,31/12/1969,120,42,75,-8,7,81,131,64,4,92,belgium
216,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,31/12/1969,147,61,33,-11,77,40,214,32,3,92,belgium
217,Mistletoe,Justin Bieber,canadian pop,2011,31/12/1969,162,56,66,-9,8,85,183,50,5,92,belgium
218,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,31/12/1969,142,26,65,-13,36,84,155,90,6,91,belgium
219,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,album rock,1980,31/12/1969,95,51,77,-9,7,77,228,32,3,91,belgium
220,White Christmas,Bing Crosby,adult standards,1942,31/12/1969,131,16,32,-16,34,25,177,67,4,89,belgium
221,The Christmas Song (Merry Christmas To You),Nat King Cole,adult standards,1962,31/12/1969,79,21,32,-15,14,21,192,92,3,89,belgium
222,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,31/12/1969,134,24,45,-14,18,70,117,91,4,89,belgium
223,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,31/12/1969,75,18,44,-9,32,34,171,96,4,89,belgium
224,Señorita,Shawn Mendes,canadian pop,2019,31/12/1969,117,55,76,-6,8,75,191,4,3,89,belgium
225,Underneath the Tree,Kelly Clarkson,dance pop,2013,31/12/1969,160,81,51,-5,21,69,230,0,5,88,belgium
226,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,31/12/1969,113,28,73,-12,12,72,156,76,6,88,belgium
227,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,31/12/1969,127,78,57,-7,11,70,153,2,3,88,belgium
228,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,album rock,1983,31/12/1969,129,84,67,-4,11,84,126,61,3,88,belgium
229,Do They Know It's Christmas? - 1984 Version,Band Aid,NA,2004,31/12/1969,115,64,60,-7,10,35,223,16,4,87,belgium
230,Blue Christmas,Elvis Presley,adult standards,1957,31/12/1969,95,27,47,-17,14,58,129,90,4,87,belgium
231,Christmas Lights,Coldplay,permanent wave,2010,31/12/1969,131,42,31,-9,8,24,242,13,3,87,belgium
232,Santa Baby,Ariana Grande,dance pop,2013,31/12/1969,96,78,75,-6,28,77,171,5,14,87,belgium
233,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,heartland rock,1981,31/12/1969,140,67,36,-8,73,41,268,36,5,86,belgium
234,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,31/12/1969,119,65,32,-6,24,47,272,50,3,86,belgium
235,Last Christmas,Wham!,new wave pop,1984,31/12/1969,108,48,74,-12,36,95,263,19,3,85,belgium
236,Feliz Navidad,José Feliciano,latin pop,2001,31/12/1969,149,86,49,-7,35,96,182,53,4,85,belgium
237,Santa Claus Is Coming To Town,The Jackson 5,adult standards,1970,31/12/1969,147,76,69,-5,18,96,144,42,3,85,belgium
238,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,31/12/1969,93,22,33,-11,34,36,207,88,3,84,belgium
239,I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,31/12/1969,129,71,58,-8,82,61,181,26,5,84,belgium
240,My Only Wish (This Year),Britney Spears,dance pop,2019,31/12/1969,147,73,67,-7,20,68,255,23,3,84,belgium
241,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,31/12/1969,180,58,51,-11,18,87,242,36,4,83,belgium
242,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,31/12/1969,140,37,67,-13,10,86,133,59,3,83,belgium
243,Holly Jolly Christmas,Michael Bublé,adult standards,2011,31/12/1969,151,43,61,-9,9,74,122,86,4,82,belgium
244,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,31/12/1969,126,76,34,-7,8,36,166,39,5,82,belgium
245,Ne reviens pas,Gradur,french hip hop,2019,31/12/1969,125,78,93,-3,17,93,189,21,6,78,belgium
246,Sleigh Ride,The Ronettes,adult standards,2019,31/12/1969,92,77,53,-7,32,85,181,40,3,77,belgium
247,Santa Claus Is Coming to Town,Michael Bublé,adult standards,2011,31/12/1969,123,40,59,-7,4,42,172,79,5,75,belgium
248,Hoe Het Danst,Marco Borsato,dutch cabaret,2019,31/12/1969,130,86,69,-3,19,42,253,6,5,75,belgium
249,Merry Christmas Everyone,Shakin' Stevens,new wave pop,1997,31/12/1969,102,71,76,-10,8,96,224,16,3,69,belgium
250,This Christmas,Donny Hathaway,chicago soul,1971,31/12/1969,93,65,63,-9,25,68,231,29,4,59,belgium
